ID,PUNTUACION_ACCESIBILIDAD,PUNTUACION_CALIDAD,COMENTARIOS,AreaRecreativaID,FECHA
1830,4,4,Excelente,18210,07/01/2021
1831,2,2,Aceptable,17103,14/02/2023
1832,2,2,Aceptable,7591686,17/03/2021
1833,2,2,Aceptable,5237128,17/01/2021
1834,1,2,Regular,18538,26/02/2022
1835,4,3,Muy bueno,17939,24/02/2022
1836,3,2,Aceptable,17218,17/02/2023
1837,2,1,Regular,18574,17/08/2021
1838,4,5,Excelente,3573333,21/12/2022
1839,1,1,Deficiente,5653924,02/12/2021
1840,3,2,Aceptable,17739,05/07/2022
1841,1,2,Regular,16669,05/11/2022
1842,3,3,Muy bueno,17577,22/12/2021
1843,3,4,Muy bueno,3573051,01/10/2023
1844,1,2,Regular,18620,18/09/2021
1845,2,3,Aceptable,17335,22/08/2023
1846,1,1,Deficiente,451442,14/08/2021
1847,1,2,Regular,7902706,08/11/2022
1848,4,3,Muy bueno,17104,28/03/2022
1849,2,1,Regular,18492,08/08/2023
1850,2,1,Regular,17535,07/02/2023
1851,5,5,Excelente,18346,10/01/2021
1852,5,5,Excelente,18060,08/07/2023
1853,2,2,Aceptable,17700,01/05/2021
1854,5,4,Excelente,18462,25/07/2023
1855,4,4,Excelente,17201,05/08/2022
1856,4,5,Excelente,18301,17/12/2021
1857,3,3,Muy bueno,18240,14/12/2021
1858,5,5,Excelente,5237139,20/05/2021
1859,5,5,Excelente,17751,13/06/2021
1860,2,3,Aceptable,16964,29/11/2021
1861,5,4,Excelente,17622,30/08/2023
1862,1,1,Deficiente,18427,16/03/2022
1863,4,5,Excelente,5213834,28/06/2021
1864,4,3,Muy bueno,17002,11/02/2022
1865,3,3,Muy bueno,17399,05/08/2021
1866,4,3,Muy bueno,17615,25/06/2023
1867,5,5,Excelente,18203,15/02/2022
1868,3,4,Muy bueno,17567,18/01/2023
1869,3,4,Muy bueno,18450,03/01/2023
1870,2,1,Regular,18344,18/11/2021
1871,1,1,Deficiente,17453,02/11/2022
1872,2,1,Regular,16904,05/05/2022
1873,4,3,Muy bueno,18359,15/10/2021
1874,3,3,Muy bueno,7595816,16/03/2021
1875,4,3,Muy bueno,52061,23/05/2021
1876,1,2,Regular,18472,05/08/2023
1877,5,4,Excelente,18343,26/11/2023
1878,5,4,Excelente,16986,12/09/2021
1879,1,1,Deficiente,17735,26/01/2021
1880,1,1,Deficiente,5237133,20/11/2022
1881,1,1,Deficiente,17575,31/01/2023
1882,3,4,Muy bueno,17878,24/05/2022
1883,3,4,Muy bueno,17081,10/08/2021
1884,2,3,Aceptable,5261893,08/04/2023
1885,1,1,Deficiente,18208,11/11/2021
1886,4,5,Excelente,17670,15/11/2022
1887,4,3,Muy bueno,5220798,22/11/2023
1888,4,3,Muy bueno,8799601,07/05/2022
1889,3,3,Muy bueno,5246180,08/01/2022
1890,4,5,Excelente,5220720,17/11/2023
1891,2,3,Aceptable,7595816,02/08/2021
1892,3,4,Muy bueno,4749897,20/07/2022
1893,4,5,Excelente,52075,23/03/2021
1894,3,2,Aceptable,18461,29/03/2021
1895,2,2,Aceptable,5653737,25/09/2023
1896,4,5,Excelente,18345,21/12/2022
1897,2,2,Aceptable,9424149,28/11/2022
1898,3,4,Muy bueno,5241172,01/08/2022
1899,1,1,Deficiente,17004,28/03/2023
1900,1,2,Regular,5166868,07/05/2022
1901,3,3,Muy bueno,5240112,22/11/2022
1902,5,5,Excelente,17561,11/05/2023
1903,4,3,Muy bueno,3739833,23/12/2022
1904,1,1,Deficiente,16696,23/01/2022
1905,1,2,Regular,6843085,17/11/2021
1906,1,1,Deficiente,17898,18/01/2022
1907,2,2,Aceptable,17447,05/02/2023
1908,5,5,Excelente,18523,20/07/2022
1909,3,4,Muy bueno,18555,30/08/2023
1910,2,3,Aceptable,18060,30/03/2022
1911,5,5,Excelente,7889423,25/08/2021
1912,2,2,Aceptable,5240310,09/05/2022
1913,5,4,Excelente,17967,21/01/2022
1914,4,5,Excelente,7107695,01/06/2023
1915,2,1,Regular,17652,05/03/2022
1916,4,4,Excelente,17075,06/01/2022
1917,2,1,Regular,16730,19/03/2022
1918,4,4,Excelente,18273,03/01/2022
1919,5,4,Excelente,17282,25/02/2023
1920,1,2,Regular,17820,28/12/2021
1921,5,4,Excelente,17069,10/05/2021
1922,2,1,Regular,17901,25/08/2021
1923,4,5,Excelente,18561,03/03/2022
1924,2,2,Aceptable,5802272,16/10/2022
1925,4,3,Muy bueno,17467,28/04/2022
1926,1,1,Deficiente,5195695,05/03/2022
1927,1,2,Regular,17207,05/11/2022
1928,1,1,Deficiente,5213818,07/02/2022
1929,4,4,Excelente,7107693,16/10/2022
1930,4,4,Excelente,5219922,04/12/2023
1931,1,2,Regular,17582,04/02/2022
1932,5,4,Excelente,3566363,24/03/2022
1933,2,3,Aceptable,18352,13/02/2022
1934,2,2,Aceptable,5653963,19/10/2021
1935,4,3,Muy bueno,7928425,10/05/2021
1936,4,4,Excelente,5195695,25/12/2022
1937,2,2,Aceptable,17120,27/09/2023
1938,5,5,Excelente,17339,11/01/2021
1939,1,2,Regular,7280560,10/03/2021
1940,5,5,Excelente,7127775,01/01/2023
1941,3,3,Muy bueno,5204992,14/08/2021
1942,3,3,Muy bueno,17926,23/12/2022
1943,3,3,Muy bueno,17502,31/08/2021
1944,1,2,Regular,5174650,17/05/2021
1945,1,1,Deficiente,18133,09/01/2021
1946,1,1,Deficiente,5237108,12/10/2021
1947,1,2,Regular,17648,11/01/2021
1948,1,1,Deficiente,17457,04/01/2021
1949,4,5,Excelente,7928069,22/02/2022
1950,3,2,Aceptable,17577,11/10/2021
1951,1,1,Deficiente,17493,21/02/2023
1952,3,4,Muy bueno,17685,22/10/2022
1953,5,5,Excelente,16799,17/06/2021
1954,2,3,Aceptable,17833,30/05/2023
1955,2,2,Aceptable,5109124,25/07/2022
1956,4,4,Excelente,17186,13/07/2022
1957,1,2,Regular,18166,11/10/2023
1958,5,5,Excelente,17623,05/11/2023
1959,5,5,Excelente,52088,31/12/2023
1960,4,5,Excelente,5219928,20/05/2022
1961,5,4,Excelente,18353,29/07/2021
1962,4,4,Excelente,5237127,02/12/2022
1963,5,5,Excelente,17270,14/06/2021
1964,5,5,Excelente,17263,28/09/2022
1965,1,2,Regular,4989404,07/11/2022
1966,2,1,Regular,7125670,05/01/2023
1967,5,4,Excelente,17448,26/02/2022
1968,4,3,Muy bueno,16778,10/09/2023
1969,3,3,Muy bueno,17037,04/12/2023
1970,3,3,Muy bueno,17491,16/04/2023
1971,1,1,Deficiente,17842,25/09/2021
1972,4,3,Muy bueno,7861611,03/02/2021
1973,5,4,Excelente,17075,25/09/2021
1974,1,1,Deficiente,17892,18/11/2022
1975,2,3,Aceptable,17207,04/10/2021
1976,4,4,Excelente,17987,10/09/2022
1977,4,3,Muy bueno,16735,09/01/2022
1978,2,1,Regular,17830,02/12/2022
1979,1,2,Regular,17794,17/03/2021
1980,1,1,Deficiente,17942,12/04/2022
1981,4,4,Excelente,3573350,21/10/2022
1982,2,1,Regular,17339,29/11/2023
1983,2,2,Aceptable,17263,01/07/2022
1984,1,2,Regular,18407,07/11/2022
1985,2,1,Regular,3740788,12/09/2021
1986,3,2,Aceptable,6819625,21/04/2023
1987,4,3,Muy bueno,17642,07/09/2021
1988,5,4,Excelente,5272338,18/10/2021
1989,3,3,Muy bueno,17072,11/04/2023
1990,4,5,Excelente,18335,26/07/2021
1991,1,1,Deficiente,52079,23/07/2021
1992,5,4,Excelente,17201,11/07/2023
1993,4,3,Muy bueno,17789,04/03/2023
1994,4,5,Excelente,17265,30/08/2021
1995,4,5,Excelente,16904,11/06/2021
1996,4,4,Excelente,5209024,08/05/2021
1997,2,1,Regular,5246185,03/05/2021
1998,1,1,Deficiente,4988273,21/11/2022
1999,5,4,Excelente,17462,05/04/2021
2000,1,2,Regular,17304,08/06/2023
2001,4,5,Excelente,17345,12/07/2023
2002,3,2,Aceptable,18133,25/06/2022
2003,3,2,Aceptable,18471,06/10/2022
2004,3,2,Aceptable,5213834,20/01/2021
2005,3,2,Aceptable,18310,17/02/2023
2006,1,1,Deficiente,7126577,09/02/2022
2007,1,1,Deficiente,17422,16/09/2023
2008,2,2,Aceptable,52164,13/02/2023
2009,5,4,Excelente,52148,06/08/2021
2010,4,3,Muy bueno,18421,27/01/2022
2011,3,3,Muy bueno,18345,23/02/2022
2012,5,4,Excelente,5213832,11/06/2021
2013,5,4,Excelente,17819,25/10/2022
2014,2,2,Aceptable,3568959,04/11/2023
2015,1,1,Deficiente,17347,02/06/2021
2016,5,5,Excelente,18629,27/09/2021
2017,5,4,Excelente,18311,06/04/2022
2018,1,1,Deficiente,17748,14/11/2021
2019,4,5,Excelente,17350,29/05/2021
2020,4,3,Muy bueno,5174720,06/08/2021
2021,5,5,Excelente,17325,06/11/2021
2022,2,1,Regular,18382,25/03/2023
2023,5,5,Excelente,5209117,01/11/2021
2024,1,2,Regular,17030,16/03/2022
2025,5,4,Excelente,17629,13/02/2023
2026,5,5,Excelente,16840,09/04/2021
2027,1,1,Deficiente,5195676,18/05/2023
2028,5,5,Excelente,18196,05/03/2023
2029,5,5,Excelente,5220720,14/01/2023
2030,3,3,Muy bueno,17827,20/05/2022
2031,5,4,Excelente,3566353,31/12/2022
2032,4,3,Muy bueno,16685,18/05/2021
2033,1,1,Deficiente,18317,01/08/2021
2034,5,5,Excelente,18540,06/12/2023
2035,3,3,Muy bueno,7182696,15/02/2021
2036,1,2,Regular,18453,08/07/2021
2037,3,4,Muy bueno,17653,24/09/2022
2038,1,2,Regular,18013,01/11/2021
2039,4,4,Excelente,17454,15/05/2021
2040,3,3,Muy bueno,52101,08/01/2023
2041,5,5,Excelente,18246,05/12/2022
2042,5,5,Excelente,17103,23/09/2022
2043,1,2,Regular,18578,01/12/2023
2044,2,1,Regular,18169,12/11/2021
2045,1,2,Regular,16867,27/02/2022
2046,4,5,Excelente,17470,08/06/2021
2047,2,2,Aceptable,17242,26/05/2021
2048,4,3,Muy bueno,18491,24/04/2021
2049,4,3,Muy bueno,4738111,03/09/2022
2050,5,5,Excelente,16718,13/04/2021
2051,2,3,Aceptable,17614,09/10/2022
2052,3,2,Aceptable,8799603,29/06/2022
2053,3,2,Aceptable,18290,07/02/2023
2054,1,2,Regular,17857,24/09/2023
2055,3,3,Muy bueno,52125,26/10/2021
2056,4,4,Excelente,16862,20/10/2022
2057,4,3,Muy bueno,17695,07/09/2023
2058,3,4,Muy bueno,18193,07/08/2023
2059,3,3,Muy bueno,18019,12/05/2023
2060,5,5,Excelente,17255,31/12/2021
2061,3,2,Aceptable,18247,25/10/2023
2062,4,3,Muy bueno,18438,02/07/2022
2063,3,4,Muy bueno,5178801,02/05/2023
2064,3,3,Muy bueno,18281,09/04/2021
2065,2,2,Aceptable,17107,28/08/2021
2066,4,4,Excelente,8799603,17/06/2021
2067,1,2,Regular,18325,12/03/2023
2068,5,4,Excelente,17050,27/01/2021
2069,3,2,Aceptable,5241172,25/11/2023
2070,1,1,Deficiente,7107694,05/11/2022
2071,4,5,Excelente,18085,17/02/2022
2072,3,2,Aceptable,5199521,11/10/2022
2073,5,5,Excelente,17335,16/03/2022
2074,5,4,Excelente,16955,20/10/2023
2075,2,2,Aceptable,17648,24/09/2023
2076,1,1,Deficiente,16739,10/11/2023
2077,4,5,Excelente,52061,11/10/2021
2078,1,1,Deficiente,5218552,16/02/2021
2079,3,4,Muy bueno,17950,14/04/2023
2080,1,2,Regular,16771,29/09/2022
2081,3,4,Muy bueno,17614,12/01/2021
2082,4,3,Muy bueno,9187543,26/12/2021
2083,3,3,Muy bueno,17321,20/03/2022
2084,3,2,Aceptable,7168609,01/03/2023
2085,3,3,Muy bueno,5237111,15/12/2023
2086,5,5,Excelente,5237120,21/09/2021
2087,5,5,Excelente,7838817,12/03/2021
2088,4,4,Excelente,18205,03/09/2023
2089,1,1,Deficiente,8907324,17/05/2021
2090,3,4,Muy bueno,7861611,03/08/2022
2091,1,1,Deficiente,16755,06/01/2021
2092,1,1,Deficiente,17642,25/09/2022
2093,4,4,Excelente,17396,23/06/2021
2094,2,1,Regular,16851,11/09/2021
2095,5,5,Excelente,18493,15/09/2023
2096,1,1,Deficiente,17907,06/08/2021
2097,2,2,Aceptable,18211,30/09/2022
2098,1,1,Deficiente,5166868,19/11/2021
2099,1,1,Deficiente,3531283,18/01/2023
2100,4,4,Excelente,17793,02/01/2022
2101,2,3,Aceptable,5237133,27/05/2022
2102,3,2,Aceptable,17131,05/12/2022
2103,4,5,Excelente,18266,06/11/2021
2104,2,2,Aceptable,7180264,30/11/2023
2105,5,5,Excelente,52086,09/01/2022
2106,2,2,Aceptable,16728,20/08/2022
2107,4,3,Muy bueno,17660,11/02/2021
2108,5,4,Excelente,18629,03/06/2022
2109,4,3,Muy bueno,52182,10/03/2021
2110,2,2,Aceptable,5240107,19/06/2021
2111,2,2,Aceptable,8914010,20/11/2021
2112,5,5,Excelente,52180,15/01/2021
2113,3,4,Muy bueno,17874,08/02/2023
2114,1,2,Regular,7591607,05/07/2023
2115,4,4,Excelente,7126585,29/12/2021
2116,1,1,Deficiente,17248,02/10/2021
2117,1,2,Regular,18458,02/06/2021
2118,3,3,Muy bueno,7107695,10/10/2022
2119,5,5,Excelente,5654057,21/03/2021
2120,5,5,Excelente,18061,01/04/2022
2121,1,1,Deficiente,17033,12/12/2022
2122,5,5,Excelente,17405,02/10/2023
2123,4,5,Excelente,5237126,05/04/2021
2124,4,4,Excelente,5197210,03/02/2021
2125,5,4,Excelente,17653,25/03/2023
2126,3,3,Muy bueno,3531279,09/04/2022
2127,3,2,Aceptable,17755,28/04/2022
2128,4,3,Muy bueno,17729,14/02/2022
2129,1,1,Deficiente,5654059,25/10/2021
2130,5,5,Excelente,7126577,15/07/2023
2131,2,3,Aceptable,18099,06/02/2021
2132,2,1,Regular,3558513,19/08/2023
2133,1,1,Deficiente,4796512,14/11/2022
2134,4,3,Muy bueno,5246192,18/07/2023
2135,2,2,Aceptable,17796,26/11/2022
2136,4,3,Muy bueno,18496,18/03/2022
2137,4,4,Excelente,18157,09/03/2023
2138,2,2,Aceptable,16717,16/09/2022
2139,1,1,Deficiente,7882665,06/08/2023
2140,2,3,Aceptable,17789,02/02/2022
2141,2,2,Aceptable,18340,09/06/2021
2142,4,5,Excelente,17614,26/09/2023
2143,1,1,Deficiente,17300,28/02/2023
2144,4,3,Muy bueno,7248182,16/11/2022
2145,1,1,Deficiente,17507,17/07/2022
2146,5,4,Excelente,18003,01/09/2023
2147,1,2,Regular,3568959,26/03/2023
2148,5,5,Excelente,17049,21/04/2021
2149,1,1,Deficiente,16841,13/04/2023
2150,2,1,Regular,17259,09/05/2022
2151,4,5,Excelente,17903,01/01/2023
2152,2,1,Regular,9424149,24/10/2022
2153,4,5,Excelente,17178,28/07/2023
2154,4,4,Excelente,17404,13/05/2022
2155,1,1,Deficiente,3568168,24/08/2022
2156,4,4,Excelente,16915,07/05/2022
2157,5,4,Excelente,17409,27/10/2022
2158,1,2,Regular,17371,29/04/2023
2159,5,5,Excelente,17035,27/11/2021
2160,3,3,Muy bueno,18111,29/04/2023
2161,1,2,Regular,17124,29/10/2023
2162,1,1,Deficiente,17211,17/05/2022
2163,2,3,Aceptable,18267,24/11/2022
2164,5,4,Excelente,5204992,28/03/2022
2165,1,2,Regular,7129053,11/09/2021
2166,5,5,Excelente,3568695,27/10/2021
2167,3,3,Muy bueno,52121,02/02/2022
2168,3,2,Aceptable,52142,24/01/2022
2169,3,2,Aceptable,17952,22/09/2023
2170,1,1,Deficiente,17171,09/02/2022
2171,3,3,Muy bueno,17884,08/03/2021
2172,4,5,Excelente,17303,30/11/2021
2173,4,5,Excelente,17301,07/09/2022
2174,3,4,Muy bueno,18469,13/02/2023
2175,3,2,Aceptable,18332,17/10/2023
2176,2,2,Aceptable,18568,10/11/2022
2177,2,3,Aceptable,17249,08/12/2021
2178,2,2,Aceptable,18113,11/07/2022
2179,2,3,Aceptable,52054,17/11/2022
2180,4,3,Muy bueno,17216,05/04/2022
2181,1,2,Regular,17033,03/06/2023
2182,5,5,Excelente,17920,04/12/2023
2183,4,5,Excelente,5220866,15/08/2022
2184,5,5,Excelente,8909095,16/06/2023
2185,1,1,Deficiente,17288,26/11/2022
2186,3,3,Muy bueno,18477,08/01/2022
2187,2,3,Aceptable,17344,05/08/2021
2188,3,2,Aceptable,18534,08/07/2022
2189,2,2,Aceptable,18225,29/03/2022
2190,1,1,Deficiente,5219924,22/08/2022
2191,3,3,Muy bueno,52044,23/07/2022
2192,1,2,Regular,6819627,09/09/2022
2193,2,2,Aceptable,17327,16/09/2023
2194,5,5,Excelente,17056,22/10/2021
2195,5,4,Excelente,16929,22/12/2023
2196,1,1,Deficiente,52195,30/10/2022
2197,3,2,Aceptable,17966,21/03/2021
2198,4,4,Excelente,17416,24/07/2022
2199,3,2,Aceptable,6819612,01/01/2022
2200,3,3,Muy bueno,16898,13/12/2022
2201,2,2,Aceptable,17940,15/03/2022
2202,1,1,Deficiente,18363,27/04/2023
2203,1,2,Regular,3962563,30/11/2021
2204,2,3,Aceptable,52159,26/01/2022
2205,3,4,Muy bueno,18347,19/06/2023
2206,4,3,Muy bueno,17528,12/07/2023
2207,3,3,Muy bueno,8909085,25/02/2022
2208,4,3,Muy bueno,6819614,11/10/2021
2209,1,1,Deficiente,17464,08/02/2021
2210,4,3,Muy bueno,52130,18/02/2021
2211,5,5,Excelente,52065,08/04/2023
2212,5,5,Excelente,5211511,03/08/2022
2213,5,5,Excelente,16923,02/07/2021
2214,4,3,Muy bueno,17091,04/07/2021
2215,3,3,Muy bueno,17396,30/10/2021
2216,1,1,Deficiente,17976,16/08/2023
2217,2,1,Regular,17465,25/11/2021
2218,2,3,Aceptable,17680,21/06/2023
2219,5,5,Excelente,17903,29/03/2023
2220,5,4,Excelente,18235,11/02/2023
2221,4,3,Muy bueno,17804,31/12/2023
2222,5,5,Excelente,52132,24/11/2021
2223,1,1,Deficiente,7927289,07/10/2022
2224,2,2,Aceptable,7125670,28/09/2023
2225,5,4,Excelente,7059771,15/11/2023
2226,1,2,Regular,17564,13/03/2023
2227,1,1,Deficiente,7248141,17/04/2022
2228,5,4,Excelente,5241173,04/01/2022
2229,4,4,Excelente,17539,16/03/2023
2230,3,2,Aceptable,18531,28/02/2022
2231,2,1,Regular,5240107,17/09/2022
2232,3,4,Muy bueno,52074,27/02/2023
2233,1,2,Regular,17648,21/12/2023
2234,5,4,Excelente,18192,13/03/2023
2235,5,4,Excelente,17980,08/03/2022
2236,3,3,Muy bueno,17341,28/05/2022
2237,2,3,Aceptable,18613,27/01/2022
2238,2,2,Aceptable,18512,01/01/2021
2239,2,2,Aceptable,17891,13/04/2021
2240,3,4,Muy bueno,52208,11/02/2021
2241,2,2,Aceptable,3566376,30/01/2021
2242,2,3,Aceptable,5241181,03/05/2022
2243,5,5,Excelente,17062,31/12/2022
2244,3,4,Muy bueno,16714,18/02/2021
2245,2,3,Aceptable,17557,05/03/2023
2246,3,2,Aceptable,17261,04/06/2021
2247,1,2,Regular,52068,17/01/2021
2248,2,1,Regular,17666,20/05/2021
2249,1,1,Deficiente,17952,18/07/2023
2250,4,5,Excelente,16905,27/04/2022
2251,1,1,Deficiente,17114,02/09/2022
2252,1,2,Regular,16955,04/08/2021
2253,4,5,Excelente,52902,04/04/2022
2254,2,1,Regular,18427,12/10/2021
2255,2,1,Regular,52191,13/06/2022
2256,2,1,Regular,52201,02/10/2023
2257,5,5,Excelente,7280401,10/11/2022
2258,3,2,Aceptable,18544,17/04/2021
2259,4,4,Excelente,17730,09/06/2022
2260,1,1,Deficiente,17609,01/12/2021
2261,5,5,Excelente,17514,12/10/2022
2262,4,5,Excelente,7125612,25/04/2022
2263,3,3,Muy bueno,18011,13/12/2021
2264,3,2,Aceptable,17819,30/01/2023
2265,1,2,Regular,17004,20/10/2023
2266,2,2,Aceptable,4989388,27/06/2021
2267,4,3,Muy bueno,18579,29/07/2022
2268,5,5,Excelente,17700,23/08/2023
2269,3,2,Aceptable,3994618,13/09/2023
2270,1,1,Deficiente,17467,19/02/2021
2271,4,3,Muy bueno,52177,21/04/2023
2272,4,4,Excelente,17414,11/09/2021
2273,1,1,Deficiente,16930,16/11/2023
2274,5,5,Excelente,18061,11/01/2023
2275,4,5,Excelente,16750,18/09/2023
2276,3,2,Aceptable,18625,24/07/2021
2277,4,3,Muy bueno,17897,07/04/2021
2278,4,5,Excelente,16751,21/10/2023
2279,1,1,Deficiente,7840483,05/01/2022
2280,1,1,Deficiente,16716,05/06/2023
2281,4,3,Muy bueno,8799950,19/03/2021
2282,1,1,Deficiente,3573208,14/04/2023
2283,3,3,Muy bueno,16942,13/11/2022
2284,1,1,Deficiente,17503,08/01/2023
2285,5,5,Excelente,17891,15/06/2021
2286,5,5,Excelente,16946,01/09/2023
2287,5,5,Excelente,7247916,13/12/2022
2288,2,3,Aceptable,18142,10/03/2023
2289,4,5,Excelente,18611,13/03/2022
2290,3,4,Muy bueno,16864,07/07/2023
2291,5,4,Excelente,17460,12/11/2023
2292,1,1,Deficiente,5241182,05/06/2022
2293,3,4,Muy bueno,7021646,16/11/2021
2294,4,4,Excelente,16871,21/05/2023
2295,1,2,Regular,52139,01/07/2021
2296,1,1,Deficiente,18282,01/03/2022
2297,5,5,Excelente,16897,28/07/2023
2298,3,4,Muy bueno,3991153,22/09/2023
2299,4,4,Excelente,18052,05/05/2022
2300,3,2,Aceptable,17260,19/08/2021
2301,5,4,Excelente,17916,05/02/2022
2302,5,4,Excelente,18198,03/11/2021
2303,1,1,Deficiente,17654,28/06/2021
2304,2,2,Aceptable,18370,05/03/2021
2305,2,3,Aceptable,9269361,13/02/2021
2306,5,5,Excelente,4795141,28/04/2022
2307,1,1,Deficiente,16761,03/01/2023
2308,4,5,Excelente,8799532,13/04/2023
2309,3,4,Muy bueno,18062,25/04/2021
2310,1,1,Deficiente,18562,26/11/2022
2311,2,3,Aceptable,17735,14/06/2022
2312,2,2,Aceptable,5246185,09/02/2022
2313,1,1,Deficiente,17594,14/01/2023
2314,5,4,Excelente,18483,13/05/2022
2315,2,1,Regular,16978,02/05/2023
2316,1,2,Regular,4749889,08/01/2021
2317,2,2,Aceptable,17272,16/04/2022
2318,3,3,Muy bueno,17089,05/10/2023
2319,1,1,Deficiente,18215,30/09/2021
2320,4,4,Excelente,18419,02/04/2022
2321,5,5,Excelente,18543,13/09/2022
2322,3,4,Muy bueno,18232,26/12/2023
2323,5,5,Excelente,17445,20/08/2022
2324,5,5,Excelente,16811,08/12/2022
2325,4,4,Excelente,17035,23/02/2022
2326,2,2,Aceptable,52115,27/05/2022
2327,1,2,Regular,18420,18/10/2022
2328,5,5,Excelente,18215,08/05/2022
2329,3,4,Muy bueno,17592,10/10/2021
2330,2,2,Aceptable,18102,11/11/2021
2331,5,5,Excelente,5237134,07/06/2022
2332,2,3,Aceptable,18324,20/01/2022
2333,2,3,Aceptable,5107830,09/06/2021
2334,5,4,Excelente,18050,06/10/2021
2335,1,2,Regular,4985933,17/02/2021
2336,4,4,Excelente,17445,25/11/2021
2337,5,5,Excelente,18169,25/03/2023
2338,2,3,Aceptable,8799551,10/06/2022
2339,5,5,Excelente,52125,23/08/2023
2340,4,5,Excelente,17144,27/11/2022
2341,2,1,Regular,7126585,04/03/2023
2342,2,1,Regular,17889,13/05/2022
2343,5,5,Excelente,17520,04/05/2021
2344,2,1,Regular,5653965,15/12/2021
2345,3,2,Aceptable,18327,31/12/2022
2346,4,5,Excelente,17957,15/08/2022
2347,1,1,Deficiente,4737855,16/09/2022
2348,3,4,Muy bueno,17035,22/02/2021
2349,4,4,Excelente,17257,16/06/2023
2350,5,5,Excelente,16747,29/07/2023
2351,5,5,Excelente,52050,22/10/2021
2352,4,4,Excelente,18541,24/04/2022
2353,3,4,Muy bueno,17532,15/04/2023
2354,4,5,Excelente,16902,15/12/2022
2355,5,5,Excelente,17464,08/05/2021
2356,4,5,Excelente,3573048,20/12/2023
2357,3,2,Aceptable,52122,24/10/2022
2358,2,1,Regular,5246193,13/10/2022
2359,4,5,Excelente,7933003,10/05/2021
2360,2,1,Regular,17783,04/09/2021
2361,2,2,Aceptable,18618,08/02/2021
2362,2,1,Regular,17057,25/11/2023
2363,3,2,Aceptable,17052,02/05/2021
2364,5,4,Excelente,7838836,09/02/2022
2365,4,3,Muy bueno,7074478,30/05/2021
2366,4,5,Excelente,8907324,13/12/2023
2367,1,1,Deficiente,17414,05/02/2023
2368,3,3,Muy bueno,3573053,10/10/2022
2369,2,1,Regular,17271,29/01/2022
2370,1,1,Deficiente,16752,16/10/2022
2371,1,2,Regular,16660,08/01/2021
2372,5,4,Excelente,17680,06/09/2023
2373,3,3,Muy bueno,7162223,12/12/2023
2374,2,3,Aceptable,18535,17/03/2022
2375,2,3,Aceptable,17216,04/02/2021
2376,3,2,Aceptable,17292,15/10/2021
2377,3,4,Muy bueno,52195,02/06/2022
2378,4,4,Excelente,52203,18/01/2021
2379,4,3,Muy bueno,17820,19/04/2022
2380,3,4,Muy bueno,17022,31/10/2021
2381,1,1,Deficiente,18460,19/11/2021
2382,4,5,Excelente,18351,14/03/2023
2383,4,4,Excelente,18098,24/02/2022
2384,5,4,Excelente,52162,17/10/2022
2385,3,2,Aceptable,17802,04/12/2021
2386,2,1,Regular,16698,16/11/2023
2387,4,5,Excelente,16676,01/05/2022
2388,5,5,Excelente,8785368,21/11/2022
2389,5,4,Excelente,16830,28/01/2021
2390,5,4,Excelente,4738111,20/06/2023
2391,4,3,Muy bueno,17520,31/05/2021
2392,1,1,Deficiente,17908,10/02/2023
2393,3,3,Muy bueno,17106,22/06/2021
2394,1,1,Deficiente,8799633,24/09/2022
2395,4,3,Muy bueno,18449,12/09/2021
2396,5,5,Excelente,17218,09/04/2022
2397,1,1,Deficiente,18344,15/04/2021
2398,3,2,Aceptable,18196,14/10/2021
2399,3,4,Muy bueno,18191,22/05/2021
2400,4,5,Excelente,16699,25/01/2023
2401,4,5,Excelente,5224222,04/01/2021
2402,3,3,Muy bueno,52208,30/11/2021
2403,5,4,Excelente,8799950,01/02/2021
2404,4,4,Excelente,17532,25/03/2023
2405,4,4,Excelente,17870,24/02/2021
2406,1,2,Regular,17965,18/06/2021
2407,4,5,Excelente,52125,26/09/2021
2408,3,3,Muy bueno,17325,01/07/2022
2409,2,1,Regular,5158861,12/09/2023
2410,2,2,Aceptable,17502,26/08/2022
2411,3,4,Muy bueno,17524,28/08/2021
2412,4,4,Excelente,16994,16/01/2023
2413,4,3,Muy bueno,17623,11/10/2021
2414,3,3,Muy bueno,18423,18/09/2021
2415,4,4,Excelente,17312,29/11/2023
2416,5,5,Excelente,18496,20/07/2022
2417,1,2,Regular,5246186,17/12/2021
2418,2,1,Regular,7168609,28/11/2023
2419,2,1,Regular,52095,14/01/2023
2420,4,3,Muy bueno,17525,24/07/2022
2421,1,1,Deficiente,17812,29/04/2021
2422,2,2,Aceptable,7882665,21/05/2021
2423,5,5,Excelente,18341,31/07/2021
2424,4,4,Excelente,17348,22/06/2023
2425,3,3,Muy bueno,5158970,13/12/2022
2426,2,2,Aceptable,17397,01/01/2023
2427,2,1,Regular,17172,19/10/2023
2428,1,1,Deficiente,5237135,18/07/2021
2429,4,5,Excelente,17197,24/06/2023
2430,3,4,Muy bueno,16997,13/05/2023
2431,1,2,Regular,6819612,29/10/2023
2432,5,5,Excelente,16851,13/10/2021
2433,1,2,Regular,16900,27/05/2021
2434,3,3,Muy bueno,5237124,13/08/2023
2435,1,1,Deficiente,18486,04/09/2023
2436,5,4,Excelente,17294,08/05/2022
2437,1,1,Deficiente,18005,22/10/2022
2438,5,5,Excelente,16823,29/08/2023
